Nome da instância	Taxa horária sob demanda	vCPU	Memória	Armazenamento	Performance das redes
t4g.nano	USD 0,0042	2	0,5 GiB	Somente EBS	Até 5 gigabits
t4g.micro	USD 0,0084	2	1 GiB	Somente EBS	Até 5 gigabits
t4g.small	USD 0,0168	2	2 GiB	Somente EBS	Até 5 gigabits
t4g.medium	USD 0,0336	2	4 GiB	Somente EBS	Até 5 gigabits
t4g.large	USD 0,0672	2	8 GiB	Somente EBS	Até 5 gigabits
t4g.xlarge	USD 0,1344	4	16 GiB	Somente EBS	Até 5 gigabits
t4g.2xlarge	USD 0,2688	8	32 GiB	Somente EBS	Até 5 gigabits
t3.nano	USD 0,0052	2	0,5 GiB	Somente EBS	Até 5 gigabits
t3.micro	USD 0,0104	2	1 GiB	Somente EBS	Até 5 gigabits
t3.small	USD 0,0208	2	2 GiB	Somente EBS	Até 5 gigabits
t3.medium	USD 0,0416	2	4 GiB	Somente EBS	Até 5 gigabits
t3.large	USD 0,0832	2	8 GiB	Somente EBS	Até 5 gigabits
t3.xlarge	USD 0,1664	4	16 GiB	Somente EBS	Até 5 gigabits
t3.2xlarge	USD 0,3328	8	32 GiB	Somente EBS	Até 5 gigabits
t3a.nano	USD 0,0047	2	0,5 GiB	Somente EBS	Até 5 gigabits
t3a.micro	USD 0,0094	2	1 GiB	Somente EBS	Até 5 gigabits
t3a.small	USD 0,0188	2	2 GiB	Somente EBS	Até 5 gigabits
t3a.medium	USD 0,0376	2	4 GiB	Somente EBS	Até 5 gigabits
t3a.large	USD 0,0752	2	8 GiB	Somente EBS	Até 5 gigabits
t3a.xlarge	USD 0,1504	4	16 GiB	Somente EBS	Até 5 gigabits
					
t3a.2xlarge	USD 0,3008	8	32 GiB	Somente EBS	Até 5 gigabits
t2.nano	USD 0,0058	1	0,5 GiB	Somente EBS	Baixo
t2.micro	USD 0,0116	1	1 GiB	Somente EBS	Baixo a moderado
t2.small	USD 0,023	1	2 GiB	Somente EBS	Baixo a moderado
t2.medium	USD 0,0464	2	4 GiB	Somente EBS	Baixo a moderado
t2.large	USD 0,0928	2	8 GiB	Somente EBS	Baixo a moderado
t2.xlarge	USD 0,1856	4	16 GiB	Somente EBS	Moderado
t2.2xlarge	USD 0,3712	8	32 GiB	Somente EBS	Moderado
m8g.medium	USD 0,04488	1	4 GiB	Somente EBS	até 12,5 gigabits
m8g.large	USD 0,08976	2	8 GiB	Somente EBS	até 12,5 gigabits
m8g.xlarge	USD 0,17952	4	16 GiB	Somente EBS	até 12,5 gigabits
m8g.2xlarge	USD 0,35904	8	32 GiB	Somente EBS	Até 15 Gigabits
m8g.4xlarge	USD 0,71808	16	64 GiB	Somente EBS	Até 15 Gigabits
m8g.8xlarge	USD 1,43616	32	128 GiB	Somente EBS	15 Gigabit
m8g.12xlarge	USD 2,15424	48	192 GiB	Somente EBS	22.5 Gigabit
m8g.16xlarge	USD 2,87232	64	256 GiB	Somente EBS	30 Gigabit
m8g.24xlarge	USD 4,30848	96	384 GiB	Somente EBS	40 Gigabit
m8g.48xlarge	USD 8,61696	192	768 GiB	Somente EBS	50 Gigabit
m8g.metal-24xl	USD 4,30848	96	384 GiB	Somente EBS	40 Gigabit
m8g.metal-48xl	USD 8,61696	192	768 GiB	Somente EBS	
m7a.medium	USD 0,05796	1	4 GiB	Somente EBS	Até 12500 Megabit
m7a.large	USD 0,11592	2	8 GiB	Somente EBS	Até 12500 Megabit
m7a.xlarge	USD 0,23184	4	16 GiB	Somente EBS	Até 12500 Megabit
